pathid	pathway	gene
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	SGL_RS02155
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	SGL_RS02660
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	SGL_RS10445
NAD-BIOSYNTHESIS-III	NAD biosynthesis from nicotinamide	SGL_RS16035
NAD-BIOSYNTHESIS-III	NAD biosynthesis from nicotinamide	SGL_RS05460
NAD-BIOSYNTHESIS-III	NAD biosynthesis from nicotinamide	SGL_RS16030
PYRIDNUCSYN-PWY	NAD <i>de novo</i> biosynthesis I	SGL_RS05460
PYRIDNUCSYN-PWY	NAD <i>de novo</i> biosynthesis I	SGL_RS11255
PYRIDNUCSYN-PWY	NAD <i>de novo</i> biosynthesis I	SGL_RS11305
PYRIDNUCSYN-PWY	NAD <i>de novo</i> biosynthesis I	SGL_RS17340
PYRIDNUCSYN-PWY	NAD <i>de novo</i> biosynthesis I	SGL_RS17230
PWY-8277	NAD <i>de novo</i> biosynthesis IV (anaerobic)	SGL_RS05460
PWY-8277	NAD <i>de novo</i> biosynthesis IV (anaerobic)	SGL_RS11255
PWY-8277	NAD <i>de novo</i> biosynthesis IV (anaerobic)	SGL_RS11305
PWY-8277	NAD <i>de novo</i> biosynthesis IV (anaerobic)	SGL_RS17340
PWY-8277	NAD <i>de novo</i> biosynthesis IV (anaerobic)	SGL_RS17230
PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle)	SGL_RS05460
PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle)	SGL_RS11255
PWY-6938-1	NADH repair (prokaryotes)	SGL_RS10875
PWY2PN3-4	NADH to cytochrome <i>bd</i> quinol oxidase (cytoplasmic membrane)	SGL_RS05015
PWY2PN3-4	NADH to cytochrome <i>bd</i> quinol oxidase (cytoplasmic membrane)	SGL_RS05010
PWY2PN3-4	NADH to cytochrome <i>bd</i> quinol oxidase (cytoplasmic membrane)	SGL_RS17540
PWY2PN3-5	NADH to cytochrome <i>bo</i> quinol oxidase (cytoplasmic membrane)	SGL_RS09075
PWY2PN3-5	NADH to cytochrome <i>bo</i> quinol oxidase (cytoplasmic membrane)	SGL_RS09080
PWY2PN3-5	NADH to cytochrome <i>bo</i> quinol oxidase (cytoplasmic membrane)	SGL_RS09865
PWY2PN3-5	NADH to cytochrome <i>bo</i> quinol oxidase (cytoplasmic membrane)	SGL_RS17540
PWY2PN3-5	NADH to cytochrome <i>bo</i> quinol oxidase (cytoplasmic membrane)	SGL_RS08135
PWY-8148	NADP biosynthesis	SGL_RS12025
PWY-8148	NADP biosynthesis	SGL_RS09345
PWY-8136	NADPH repair (prokaryotes)	SGL_RS10875
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS09595
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS07315
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS13200
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS07320
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS13205
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS10475
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS16365
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS18655
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS05545
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS05540
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS05550
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS06285
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS06280
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS06290
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS06295
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS03225
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS12625
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS15190
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS20180
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS19605
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS17000
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS02610
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS10725
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS16985
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS16990
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS09885
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS11490
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS09990
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS08920
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS16995
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS10735
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS10730
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS14890
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS18425
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS11830
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS03305
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS16595
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS16590
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS11630
PWY-8271	NADPH to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	SGL_RS13610
PWY-8319	NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis	SGL_RS02090
PWY-8319	NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis	SGL_RS13225
PWY-8319	NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis	SGL_RS07590
PWY-8319	NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis	SGL_RS10190
PWY-8319	NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis	SGL_RS06520
PWY-8319	NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis	SGL_RS09760
PWY-8319	NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis	SGL_RS10880
PWY-8319	NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis	SGL_RS11110
PWY490-3	nitrate reduction VI (assimilatory)	SGL_RS06575
PWY490-3	nitrate reduction VI (assimilatory)	SGL_RS14775
PWY-7683	nitrite reduction (hemoglobin)	SGL_RS09185
PWY-5805	nonaprenyl diphosphate biosynthesis	SGL_RS01875
PWY-7587	oleoyl-[lipid] biosynthesis	SGL_RS15040
PWY-7587	oleoyl-[lipid] biosynthesis	SGL_RS09225
PWY-7587	oleoyl-[lipid] biosynthesis	SGL_RS04445
PWY-8043	ophthalmate biosynthesis	SGL_RS06800
PWY-8043	ophthalmate biosynthesis	SGL_RS12490
PWY2PN3-11	orange carotenoid protein photoprotection	SGL_RS10235
PWY2PN3-11	orange carotenoid protein photoprotection	SGL_RS05250
PWY2PN3-11	orange carotenoid protein photoprotection	SGL_RS05245
PWY2PN3-11	orange carotenoid protein photoprotection	SGL_RS04660
PWY2PN3-11	orange carotenoid protein photoprotection	SGL_RS05230
PWY2PN3-11	orange carotenoid protein photoprotection	SGL_RS05240
PWY2PN3-11	orange carotenoid protein photoprotection	SGL_RS05235
PWY2PN3-11	orange carotenoid protein photoprotection	SGL_RS08590
PWY2PN3-11	orange carotenoid protein photoprotection	SGL_RS08585
PWY2PN3-11	orange carotenoid protein photoprotection	SGL_RS08580
PWY2PN3-11	orange carotenoid protein photoprotection	SGL_RS03465
PWY2PN3-11	orange carotenoid protein photoprotection	SGL_RS12650
PWY2PN3-11	orange carotenoid protein photoprotection	SGL_RS17175
PWY2PN3-11	orange carotenoid protein photoprotection	SGL_RS10230
PWY2PN3-13	ornithine-ammonia cycle	SGL_RS17085
PWY2PN3-13	ornithine-ammonia cycle	SGL_RS17390
PWY2PN3-13	ornithine-ammonia cycle	SGL_RS14530
PWY2PN3-13	ornithine-ammonia cycle	SGL_RS16800
PWY2PN3-13	ornithine-ammonia cycle	SGL_RS18195
PWY2PN3-13	ornithine-ammonia cycle	SGL_RS05520
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS04410
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS07800
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS06990
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS19120
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS14050
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS02070
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS11935
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS03265
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS13125
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS11735
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS18770
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS18650
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS04540
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS04440
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS04545
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS12880
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS07325
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS04535
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS04530
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS08200
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS14825
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS08205
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS16825
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS10440
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS01910
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS11630
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS09595
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS07315
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS13200
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS07320
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS13205
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS10475
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS16365
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS18655
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS17240
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS04090
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS17820
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS02600
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS09805
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS17825
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS09810
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS11240
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS02435
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS12620
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS06310
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS06305
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS13415
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS13425
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS11980
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS17045
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS13180
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS13385
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS11345
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS11420
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS05660
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS09170
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS09950
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS11625
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS10960
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS14580
PHOTOALL-PWY	oxygenic photosynthesis	SGL_RS13610
PWY-8279-1	palmitate biosynthesis	SGL_RS09720
PWY-8279-1	palmitate biosynthesis	SGL_RS05665
PWY-8279-1	palmitate biosynthesis	SGL_RS07245
PWY-8279-1	palmitate biosynthesis	SGL_RS08755
PWY-8279-1	palmitate biosynthesis	SGL_RS04250
PENTOSE-P-PWY	pentose phosphate pathway	SGL_RS03080
PENTOSE-P-PWY	pentose phosphate pathway	SGL_RS05660
PENTOSE-P-PWY	pentose phosphate pathway	SGL_RS09950
PENTOSE-P-PWY	pentose phosphate pathway	SGL_RS10960
PENTOSE-P-PWY	pentose phosphate pathway	SGL_RS14580
PENTOSE-P-PWY	pentose phosphate pathway	SGL_RS17560
PENTOSE-P-PWY	pentose phosphate pathway	SGL_RS12985
PENTOSE-P-PWY	pentose phosphate pathway	SGL_RS06375
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	SGL_RS03080
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	SGL_RS05660
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	SGL_RS09950
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	SGL_RS10960
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	SGL_RS14580
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	SGL_RS17560
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	SGL_RS12985
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	SGL_RS06375
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	SGL_RS17830
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	SGL_RS16390
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	SGL_RS13460
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	SGL_RS17055
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	SGL_RS10140
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	SGL_RS17050
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	SGL_RS07755
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	SGL_RS08125
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	SGL_RS16625
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	SGL_RS07575
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	SGL_RS14090
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	SGL_RS10655
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	SGL_RS10655
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	SGL_RS09795
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	SGL_RS14350
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	SGL_RS04790
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	SGL_RS10890
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	SGL_RS13015
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	SGL_RS16280
PWY0-1261	peptidoglycan recycling I	SGL_RS07305
PWY0-1261	peptidoglycan recycling I	SGL_RS18105
PWY0-1261	peptidoglycan recycling I	SGL_RS11500
PWY0-1261	peptidoglycan recycling I	SGL_RS07655
PWY0-1261	peptidoglycan recycling I	SGL_RS16850
PWY0-1261	peptidoglycan recycling I	SGL_RS10890
PWY0-1261	peptidoglycan recycling I	SGL_RS13460
PWY0-1261	peptidoglycan recycling I	SGL_RS17055
P641-PWY	phenylmercury acetate degradation	SGL_RS04470
PWY4FS-8	phosphatidylglycerol biosynthesis II	SGL_RS07110
PWY4FS-8	phosphatidylglycerol biosynthesis II	SGL_RS12400
PWY4FS-8	phosphatidylglycerol biosynthesis II	SGL_RS09225
PWY4FS-8	phosphatidylglycerol biosynthesis II	SGL_RS04330
PWY4FS-8	phosphatidylglycerol biosynthesis II	SGL_RS11340
PWY4FS-8	phosphatidylglycerol biosynthesis II	SGL_RS11680
PWY4FS-8	phosphatidylglycerol biosynthesis II	SGL_RS12870
PANTO-PWY	phosphopantothenate biosynthesis	SGL_RS10105
PANTO-PWY	phosphopantothenate biosynthesis	SGL_RS17215
PANTO-PWY	phosphopantothenate biosynthesis	SGL_RS16615
PANTO-PWY	phosphopantothenate biosynthesis	SGL_RS09870
PWY-8362	photorespiration II	SGL_RS13415
PWY-8362	photorespiration II	SGL_RS13425
PWY-8362	photorespiration II	SGL_RS04365
PWY-8362	photorespiration II	SGL_RS18200
PWY-8362	photorespiration II	SGL_RS06975
PWY-8362	photorespiration II	SGL_RS18055
PWY-8362	photorespiration II	SGL_RS11955
PWY-8362	photorespiration II	SGL_RS12745
PWY-8362	photorespiration II	SGL_RS07170
PWY-8362	photorespiration II	SGL_RS02780
PWY-8362	photorespiration II	SGL_RS04690
PWY-8362	photorespiration II	SGL_RS13765
PWY-8362	photorespiration II	SGL_RS09800
PWY-8362	photorespiration II	SGL_RS06360
PWY-8362	photorespiration II	SGL_RS12450
PWY-5917	phycocyanobilin biosynthesis	SGL_RS15810
PWY-5917	phycocyanobilin biosynthesis	SGL_RS10385
PWY-5917	phycocyanobilin biosynthesis	SGL_RS03350
PWY-5027	phylloquinol biosynthesis	SGL_RS09385
PWY-5027	phylloquinol biosynthesis	SGL_RS03195
PWY-5027	phylloquinol biosynthesis	SGL_RS08115
PWY-5063	phytyl diphosphate biosynthesis	SGL_RS11020
PWY-6978	plastoquinol-9 biosynthesis	SGL_RS11800
PWY-6978	plastoquinol-9 biosynthesis	SGL_RS16820
PWY-6978	plastoquinol-9 biosynthesis	SGL_RS03420
PWY1-3	polyhydroxybutanoate biosynthesis	SGL_RS06270
PWY1-3	polyhydroxybutanoate biosynthesis	SGL_RS06265
PWY1-3	polyhydroxybutanoate biosynthesis	SGL_RS08620
PWY1-3	polyhydroxybutanoate biosynthesis	SGL_RS08625
PWY-8138	polyphosphate metabolism	SGL_RS17865
PWY-8138	polyphosphate metabolism	SGL_RS15845
PWY0-1597	prenylated FMNH<sub>2</sub> biosynthesis	SGL_RS02795
PWY-6703	preQ<sub>0</sub> biosynthesis	SGL_RS14545
PWY-6703	preQ<sub>0</sub> biosynthesis	SGL_RS15290
PWY-6703	preQ<sub>0</sub> biosynthesis	SGL_RS07750
PWY-6703	preQ<sub>0</sub> biosynthesis	SGL_RS16620
PWY-7798	protein <i>S</i>-nitrosylation and denitrosylation	SGL_RS04900
PWY0-662	PRPP biosynthesis	SGL_RS15555
PWY-7964	pseudocobalamin biosynthesis from adenosylcobinamide-GDP	SGL_RS14280
PWY-7964	pseudocobalamin biosynthesis from adenosylcobinamide-GDP	SGL_RS04185
PWY-6019	pseudouridine degradation	SGL_RS18050
PWY-7224	purine deoxyribonucleosides salvage	SGL_RS02240
PWY-7224	purine deoxyribonucleosides salvage	SGL_RS12365
PWY2PN3-15	putrescine biosynthesis	SGL_RS00435
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis	SGL_RS10830
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis	SGL_RS04515
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis	SGL_RS02965
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis	SGL_RS16360
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	SGL_RS12945
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	SGL_RS10105
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	SGL_RS12365
PWY-6545-1	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	SGL_RS04435
PWY-6545-1	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	SGL_RS12945
PWY-6545-1	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	SGL_RS18250
PWY-6545-1	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	SGL_RS10995
PWY-6545-1	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	SGL_RS10020
PWY-6545-1	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	SGL_RS12365
PWY-7183	pyrimidine nucleobases salvage I	SGL_RS02850
PWY-7183	pyrimidine nucleobases salvage I	SGL_RS14540
PWY-7194	pyrimidine nucleobases salvage II	SGL_RS06770
PWY-7194	pyrimidine nucleobases salvage II	SGL_RS02850
PWY-7194	pyrimidine nucleobases salvage II	SGL_RS14540
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA I	SGL_RS12465
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA I	SGL_RS02780
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA I	SGL_RS12345
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA I	SGL_RS06345
PWY-8275	pyruvate decarboxylation to acetyl CoA III	SGL_RS16420
PWY-8274	pyruvate fermentation to (<i>R</i>)-lactate	SGL_RS17385
PWY-6700	queuosine biosynthesis I (<i>de novo</i>)	SGL_RS16335
PWY-6700	queuosine biosynthesis I (<i>de novo</i>)	SGL_RS16370
PWY-6700	queuosine biosynthesis I (<i>de novo</i>)	SGL_RS15565
PWY-6700	queuosine biosynthesis I (<i>de novo</i>)	SGL_RS06980
PWY-8105	queuosine biosynthesis II (queuine salvage)	SGL_RS16370
DETOX1-PWY-2	reactive oxygen species degradation	SGL_RS09370
DETOX1-PWY-2	reactive oxygen species degradation	SGL_RS09095
DETOX1-PWY-2	reactive oxygen species degradation	SGL_RS06000
DETOX1-PWY-2	reactive oxygen species degradation	SGL_RS13140
DETOX1-PWY-2	reactive oxygen species degradation	SGL_RS08075
DETOX1-PWY-2	reactive oxygen species degradation	SGL_RS02520
DETOX1-PWY-2	reactive oxygen species degradation	SGL_RS02625
PWY-5723	Rubisco shunt	SGL_RS13415
PWY-5723	Rubisco shunt	SGL_RS13425
PWY-5723	Rubisco shunt	SGL_RS05660
PWY-5723	Rubisco shunt	SGL_RS03080
PWY-5723	Rubisco shunt	SGL_RS10960
PWY-5723	Rubisco shunt	SGL_RS14580
PWY-5723	Rubisco shunt	SGL_RS09950
PWY-5723	Rubisco shunt	SGL_RS11625
PWY-5723	Rubisco shunt	SGL_RS15640
PWY-5723	Rubisco shunt	SGL_RS07035
PWY-5723	Rubisco shunt	SGL_RS17675
PWY-5723	Rubisco shunt	SGL_RS12450
PWY-5041	<i>S</i>-adenosyl-L-methionine salvage	SGL_RS03470
PWY-5041	<i>S</i>-adenosyl-L-methionine salvage	SGL_RS09665
PWY-5041	<i>S</i>-adenosyl-L-methionine salvage	SGL_RS14710
PWY-6756	<i>S</i>-methyl-5'-thioadenosine degradation II	SGL_RS12240
PWY-6932	selenate reduction	SGL_RS11000
PWY-8475	serotonin and melatonin biosynthesis II	SGL_RS15920
PWY-5194	siroheme biosynthesis	SGL_RS11945
PWY-5194	siroheme biosynthesis	SGL_RS12770
PWY-5194	siroheme biosynthesis	SGL_RS14480
PWY2PN3-14	spermidine biosynthesis IV	SGL_RS01915
PWY2PN3-14	spermidine biosynthesis IV	SGL_RS17330
PWY2PN3-14	spermidine biosynthesis IV	SGL_RS13805
PWY2PN3-14	spermidine biosynthesis IV	SGL_RS07180
PWY2PN3-14	spermidine biosynthesis IV	SGL_RS02550
PWY-7595	stearidonoyl-[lipid] biosynthesis	SGL_RS10825
PWY-8280-1	stearoyl-[acp] biosynthesis	SGL_RS09720
PWY-8280-1	stearoyl-[acp] biosynthesis	SGL_RS05665
PWY-8280-1	stearoyl-[acp] biosynthesis	SGL_RS07245
PWY-8280-1	stearoyl-[acp] biosynthesis	SGL_RS08755
PWY1YI0-2	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)	SGL_RS14620
PWY1YI0-2	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)	SGL_RS15205
PWY1YI0-2	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)	SGL_RS08045
PWY1YI0-2	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)	SGL_RS06730
PWY1YI0-2	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)	SGL_RS05545
PWY1YI0-2	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)	SGL_RS05540
PWY1YI0-2	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)	SGL_RS05550
PWY1YI0-2	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)	SGL_RS09595
PWY1YI0-2	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)	SGL_RS07315
PWY1YI0-2	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)	SGL_RS13200
PWY1YI0-2	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)	SGL_RS07320
