gene	seqnames	start	end	strand	name	locus	locus_alt	synonyms	product
SGL_RS10680	chromosome	1865033	1865473	+	slr1273	slr1273	SGL_RS10680	RS10680	hypothetical protein
NCR0830	chromosome	1865513	1865588	+	ncr0830	ncr0830	NA	NA	NCR0830-RNA
SGL_RS10685	chromosome	1865658	1866761	+	pilM	slr1274	SGL_RS10685	RS10685	pilin pore complex protein PilM
SGL_RS10690	chromosome	1866843	1867697	+	pilN	slr1275	SGL_RS10690	RS10690	pilin pore complex protein PilN
SGL_RS10695	chromosome	1867737	1868564	+	pilO	slr1276	SGL_RS10695	RS10695	pilin pore complex protein PilO
SGL_RS10700	chromosome	1868660	1871002	+	pilQ	slr1277	SGL_RS10700	RS10700	pilin secretin pore PilQ
SLR1277-AS3	chromosome	1869844	1869961	-	slr1277-as3	slr1277-as3	NA	NA	SLR1277-AS3-RNA
SLR1277-AS2	chromosome	1870015	1870072	-	slr1277-as2	slr1277-as2	NA	NA	SLR1277-AS2-RNA
SLR1277-AS	chromosome	1870611	1870741	-	slr1277-as	slr1277-as	NA	NA	SLR1277-AS-RNA
SGL_RS10705	chromosome	1871011	1871835	-	sll1174	sll1174	SGL_RS10705	RS10705	FkbM family methyltransferase
SGL_RS10710	chromosome	1871855	1872589	-	sll1173	sll1173	SGL_RS10710	RS10710	FkbM family methyltransferase
SGL_RS10715	chromosome	1872656	1873648	+	tilS	slr1278	SGL_RS10715	RS10715	tRNA lysidine(34) synthetase TilS
SGL_RS10720	chromosome	1873698	1874846	-	thrC	sll1172	SGL_RS10720	RS10720	threonine synthase
NCR0840	chromosome	1875002	1875077	+	ncr0840	ncr0840	NA	NA	NCR0840-RNA
SGL_RS10725	chromosome	1875129	1875491	+	ndhC	slr1279	SGL_RS10725	RS10725	ferredoxin-plastoquinone oxidoreductase subunit C
SGL_RS10730	chromosome	1875563	1876309	+	ndhK	slr1280	SGL_RS10730	RS10730	ferredoxin-plastoquinone oxidoreductase subunit K
SGL_RS10735	chromosome	1876302	1876841	+	ndhJ	slr1281	SGL_RS10735	RS10735	ferredoxin-plastoquinone oxidoreductase subunit J
SGL_RS18900	chromosome	1877208	1878055	+	slr1282	slr1282	slr1283	RS18900	IS630 family transposase (inactive)
SGL_RS10750	chromosome	1878099	1879682	-	sll1170	sll1170	SGL_RS10750	RS10750	GGDEF domain-containing protein
SGL_RS10755	chromosome	1879983	1880699	-	sll1169	sll1169	SGL_RS10755	RS10755	Crp/Fnr family transcriptional regulator
NCR0850	chromosome	1880854	1880961	+	ncr0850	ncr0850	NA	NA	NCR0850-RNA
NCL0930	chromosome	1881771	1881856	-	ncl0930	ncl0930	NA	NA	NCL0930-RNA
NCR0860	chromosome	1881786	1881828	+	ncr0860	ncr0860	NA	NA	NCR0860-RNA
SGL_RS10760	chromosome	1881938	1883311	+	hik34	slr1285	SGL_RS10760	RS10760	sensor histidine kinase Hik34
SGL_RS10765	chromosome	1883329	1884624	-	pbp6	sll1167	SGL_RS10765	RS10765	penicillin-binding protein 6
SGL_RS10770	chromosome	1884739	1884927	+	ssr2130	ssr2130	SGL_RS10770	RS10770	hypothetical protein
SGL_RS10775	chromosome	1885136	1886146	+	slr1287	slr1287	SGL_RS10775	RS10775	DUF3326 domain-containing protein
SGL_RS10780	chromosome	1886153	1886737	+	slr1288	slr1288	SGL_RS10780	RS10780	type II CAAX endopeptidase family protein
NCR0870	chromosome	1886879	1887067	+	ssaA	ncr0870	NA	NA	ssaA
SGL_RS18420	chromosome	1886880	1887065	+	ssrS	SGL_RS18420	NA	RS18420	6S RNA // 6S RNA
NCL0940	chromosome	1886896	1886925	-	pRNA	ncl0940	NA	NA	pRNA
SGL_RS10785	chromosome	1887159	1888262	-	sll1166	sll1166	SGL_RS10785	RS10785	AI-2E family transporter
SGL_RS10790	chromosome	1888398	1888778	-	sll1447	sll1447	SGL_RS10790	RS10790	DUF4359 domain-containing protein
SGL_RS10795	chromosome	1888778	1889740	-	sll1446	sll1446	SGL_RS10795	RS10795	pentapeptide repeat-containing protein
SGL_RS10800	chromosome	1889872	1890474	-	leuD	sll1444	SGL_RS10800	RS10800	3-isopropylmalate dehydratase small subunit
SGL_RS10805	chromosome	1890461	1892119	-	pyrG	sll1443	SGL_RS10805	RS10805	CTP synthase (glutamine hydrolyzing)
SGL_RS10810	chromosome	1892213	1892500	-	ssl2807	ssl2807	SGL_RS10810	RS10810	DUF4926 domain-containing protein
SGL_RS10815	chromosome	1892478	1892825	-	sll1442	sll1442	SGL_RS10815	RS10815	hypothetical protein
SGL_RS10820	chromosome	1892918	1895425	+	slr1529	slr1529	SGL_RS10820	RS10820	nitrogen assimilation regulatory protein
SGL_RS10825	chromosome	1895520	1896599	-	desB	sll1441	SGL_RS10825	RS10825	<i>sn</i>-1 &gamma;-linolenoyl-lipid &omega;-3 desaturase
SGL_RS10830	chromosome	1896869	1897513	-	pdxH	sll1440	SGL_RS10830	RS10830	pyridoxamine 5'-phosphate oxidase
SGL_RS10835	chromosome	1897570	1898412	+	slr1530	slr1530	SGL_RS10835	RS10835	segregation/condensation protein A
SGL_RS10840	chromosome	1898437	1899240	-	sll1439	sll1439	SGL_RS10840	RS10840	hypothetical protein
SGL_RS10845	chromosome	1899233	1899481	-	SGL_RS10845	SGL_RS10845	NA	RS10845	YgiT-type zinc finger protein
SGL_RS10850	chromosome	1899700	1901148	+	ffh	slr1531	SGL_RS10850	RS10850	signal recognition particle protein
SGL_RS18905	chromosome	1901385	1901963	-	sll1437	sll1437	SGL_RS18905	RS18905	IS630 family transposase
SGL_RS19895	chromosome	1901873	1902232	-	sll1436	sll1436	SGL_RS19895	RS19895	IS630 transposase-related protein
SGL_RS10865	chromosome	1902437	1903924	-	gatB	sll1435	SGL_RS10865	RS10865	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
SGL_RS10870	chromosome	1904025	1905977	-	pbp3	sll1434	SGL_RS10870	RS10870	penicillin-binding protein 3
SLL1434-AS	chromosome	1905392	1905415	+	sll1434-as	sll1434-as	NA	NA	SLL1434-AS-RNA
SGL_RS10875	chromosome	1906170	1907744	-	sll1433	sll1433	SGL_RS10875	RS10875	NAD(P)H-hydrate dehydratase
SLL1432-AS	chromosome	1907672	1907811	+	sll1432-as	sll1432-as	NA	NA	SLL1432-AS-RNA
SGL_RS10880	chromosome	1907764	1908621	-	hypB	sll1432	SGL_RS10880	RS10880	hydrogenase nickel incorporation protein HypB
SGL_RS10885	chromosome	1908804	1909151	+	slr1533	slr1533	SGL_RS10885	RS10885	hypothetical protein
SGL_RS10890	chromosome	1909190	1910095	+	ldcA	slr1534	SGL_RS10890	RS10890	LD-carboxypeptidase
SLR1534-AS	chromosome	1909310	1909424	-	slr1534-as	slr1534-as	NA	NA	SLR1534-AS-RNA
SGL_RS10895	chromosome	1910499	1911494	+	slr1152	slr1152	SGL_RS10895	RS10895	pentapeptide repeat-containing protein
SGL_RS10900	chromosome	1911570	1911761	-	ssl2162	ssl2162	SGL_RS10900	RS10900	hypothetical protein
SGL_RS10905	chromosome	1911896	1912714	-	gtrC	sll1104	SGL_RS10905	RS10905	transporter substrate-binding domain-containing protein
SLL1104-AS	chromosome	1912156	1912268	+	sll1104-as	sll1104-as	NA	NA	SLL1104-AS-RNA
SGL_RS10910	chromosome	1912776	1914113	-	gtrB	sll1103	SGL_RS10910	RS10910	sodium-dependent:glutamate permease large subunit
SGL_RS10915	chromosome	1914113	1914652	-	gtrA	sll1102	SGL_RS10915	RS10915	sodium-dependent:glutamate permease small subunit
SGL_RS10920	chromosome	1914818	1915135	-	rpsJ	sll1101	SGL_RS10920	RS10920 // rps10	30S ribosomal protein S10
SGL_RS10925	chromosome	1915274	1916473	-	tufA	sll1099	SGL_RS10925	RS10925	elongation factor Tu
SGL_RS10930	chromosome	1916533	1918608	-	fusA	sll1098	SGL_RS10930	RS10930	elongation factor G FusA
SGL_RS10935	chromosome	1918815	1919285	-	rpsG	sll1097	SGL_RS10935	RS10935 // rps7	30S ribosomal protein S7
SGL_RS10940	chromosome	1919436	1919816	-	rpsL	sll1096	SGL_RS10940	RS10940 // rps12	30S ribosomal protein S12
SGL_RS10945	chromosome	1919913	1920548	-	sll1095	sll1095	SGL_RS10945	RS10945	TIGR04282 family arsenosugar biosynthesis glycosyltransferase
SGL_RS10950	chromosome	1920660	1921919	+	purD	slr1159	SGL_RS10950	RS10950	phosphoribosylamine--glycine ligase
SGL_RS10955	chromosome	1922124	1922738	+	slr1160	slr1160	SGL_RS10955	RS10955	hypothetical protein
SGL_RS10960	chromosome	1922791	1923114	-	rpiB	ssl2153	SGL_RS10960	RS10960	probable ribose phosphate isomerase B
SGL_RS19900	chromosome	1923170	1923472	-	sll1094	sll1094	SGL_RS19900	RS19900	transposase
SGL_RS19905	chromosome	1923625	1923897	-	SGL_RS19905	SGL_RS19905	NA	RS19905	hypothetical protein
NCL0950	chromosome	1924070	1924120	-	ncl0950	ncl0950	NA	NA	NCL0950-RNA
NCR0880	chromosome	1924077	1924109	+	ncr0880	ncr0880	NA	NA	NCR0880-RNA
SGL_RS10975	chromosome	1924251	1924850	+	slr1161	slr1161	SGL_RS10975	RS10975	nucleoside deaminase
SGL_RS10980	chromosome	1924999	1925943	+	slr1162	slr1162	SGL_RS10980	RS10980	hypothetical protein
SGL_RS10985	chromosome	1926030	1927700	+	slr1163	slr1163	SGL_RS10985	RS10985	carbohydrate porin
SLR1163-AS	chromosome	1927522	1927553	-	slr1163-as	slr1163-as	NA	NA	SLR1163-AS-RNA
SGL_RS10990	chromosome	1927725	1928021	-	ssl2148	ssl2148	SGL_RS10990	RS10990	hypothetical protein
SGL_RS10995	chromosome	1928323	1930626	+	nrdA	slr1164	SGL_RS10995	RS10995	ribonucleoside-diphosphate reductase subunit alpha
SLR1164-AS	chromosome	1929467	1929657	-	slr1164-as	slr1164-as	NA	NA	SLR1164-AS-RNA
SGL_RS11000	chromosome	1931139	1932311	+	sat	slr1165	SGL_RS11000	RS11000	sulfate adenylyltransferase
SGL_RS11005	chromosome	1932354	1933418	+	pgtA	slr1166	SGL_RS11005	RS11005	6-hydroxymethylpterin-&beta;-galactoside glucuronosyltransferase
SLR1166-AS	chromosome	1932539	1932628	-	slr1166-as	slr1166-as	NA	NA	SLR1166-AS-RNA
SGL_RS11010	chromosome	1933468	1933854	-	vapC4	sll1092	SGL_RS11010	RS11010	endoribonuclease VapC4
SGL_RS11015	chromosome	1933854	1934060	-	vapB4	ssl2138	SGL_RS11015	RS11015	antitoxin VapB4
SGL_RS11020	chromosome	1934307	1935530	-	chlP	sll1091	SGL_RS11020	RS11020	geranylgeranyl diphosphate reductase
NCR0890	chromosome	1935801	1935893	+	ncr0890	ncr0890	NA	NA	NCR0890-RNA
SGL_RS11025	chromosome	1935912	1937069	+	gldA	slr1167	SGL_RS11025	RS11025	glycerol dehydrogenase
SGL_RS11030	chromosome	1937086	1937397	+	slr1168	slr1168	SGL_RS11030	RS11030	DUF433 domain-containing protein
SGL_RS11035	chromosome	1937474	1938310	+	slr1169	slr1169	SGL_RS11035	RS11035	LapA family protein
SGL_RS11040	chromosome	1938429	1938782	+	slr1170	slr1170	SGL_RS11040	RS11040	TMEM165/GDT1 family protein
SLR1171-AS	chromosome	1938937	1938973	-	slr1171-as	slr1171-as	NA	NA	SLR1171-AS-RNA
SGL_RS11045	chromosome	1938985	1939494	+	gpx1	slr1171	SGL_RS11045	RS11045	hydroperoxy fatty acid reductase 1
SGL_RS11050	chromosome	1939521	1939781	+	smr0014	smr0014	SGL_RS11050	RS11050	DUF3493 domain-containing protein
SGL_RS11055	chromosome	1939865	1940506	-	sll1089	sll1089	SGL_RS11055	RS11055	hypothetical protein
SGL_RS11060	chromosome	1940549	1942087	-	sll1087	sll1087	SGL_RS11060	RS11060	sodium:solute symporter
SGL_RS11065	chromosome	1942234	1942701	-	sll1086	sll1086	SGL_RS11065	RS11065	hypothetical protein
NCR0900	chromosome	1942801	1942868	+	ncr0900	ncr0900	NA	NA	NCR0900-RNA
SGL_RS11070	chromosome	1942923	1944314	+	slr1173	slr1173	SGL_RS11070	RS11070	DUF2330 domain-containing protein
SLR1173-AS	chromosome	1943186	1943233	-	slr1173-as	slr1173-as	NA	NA	SLR1173-AS-RNA
SGL_RS19610	chromosome	1944345	1944521	+	ssr1951	ssr1951	SGL_RS19610	RS19610	hypothetical protein
SGL_RS11075	chromosome	1944586	1945374	+	evrB	slr1174	SGL_RS11075	RS11075	ABC-type viologen exporter permease protein
SLR1174-AS	chromosome	1945221	1945346	-	slr1174-as	slr1174-as	NA	NA	SLR1174-AS-RNA
NCR0910	chromosome	1945416	1945501	+	SyR49	ncr0910	NA	NA	SyR49
SGL_RS11080	chromosome	1945518	1947179	-	glpD	sll1085	SGL_RS11080	RS11080	glycerol-3-phosphate dehydrogenase
SGL_RS11085	chromosome	1947325	1948824	-	ggpS	sll1566	SGL_RS11085	RS11085	glucosylglycerol-phosphate synthase
SGL_RS20205	chromosome	1949100	1949372	-	ggpR	ssl3076	SGL_RS20205	RS20205	glucosylglycerol biosynthesis transcriptional repressor GgpR
SGL_RS11090	chromosome	1949613	1952270	+	gghA	slr1670	SGL_RS11090	slr1670 // G-55146 // RS11090	glucosylglycerol hydrolase
SGL_RS11095	chromosome	1952323	1953810	+	glpK	slr1672	SGL_RS11095	RS11095	glycerol kinase GlpK
SGL_RS11100	chromosome	1953791	1954615	+	slr1673	slr1673	SGL_RS11100	RS11100	RNA methyltransferase
SLR1673-AS	chromosome	1954062	1954113	-	slr1673-as	slr1673-as	NA	NA	SLR1673-AS-RNA
SGL_RS11105	chromosome	1954721	1955071	+	slr1674	slr1674	SGL_RS11105	RS11105	DUF760 domain-containing protein
SGL_RS11110	chromosome	1955221	1955562	+	hypA	slr1675	SGL_RS11110	RS11110	hydrogenase nickel incorporation protein HypA
SGL_RS11115	chromosome	1955690	1956181	+	slr1676	slr1676	SGL_RS11115	RS11115	DUF4079 domain-containing protein
SGL_RS11120	chromosome	1956194	1957486	+	slr1677	slr1677	SGL_RS11120	RS11120	Lipid-A-disaccharide synthase
NCR0920	chromosome	1957509	1957613	+	ncr0920	ncr0920	NA	NA	NCR0920-RNA
SGL_RS11125	chromosome	1957758	1958132	+	rplU	slr1678	SGL_RS11125	RS11125 // rpl21	50S ribosomal protein L21
SGL_RS11130	chromosome	1958240	1958503	+	rpmA	ssr2799	SGL_RS11130	RS11130 // rpl27	50S ribosomal protein L27
SGL_RS11135	chromosome	1958582	1959325	+	ddpX	slr1679	SGL_RS11135	RS11135 // vanX	D-alanyl-D-alanine dipeptidase DdpX
SGL_RS11140	chromosome	1959436	1961079	-	cimA	sll1564	SGL_RS11140	RS11140	citramalate synthase
SGL_RS11145	chromosome	1961439	1961600	+	ssr2802	ssr2802	SGL_RS11145	RS11145	ABC transporter
SGL_RS19910	chromosome	1961625	1961876	+	ssr2803	ssr2803	SGL_RS19910	RS19910	hypothetical protein
SGL_RS11155	chromosome	1962366	1962545	+	ssr2806	ssr2806	SGL_RS11155	RS11155	hypothetical protein
SGL_RS11160	chromosome	1962705	1965467	-	sll1563	sll1563	SGL_RS11160	RS11160	ParA family protein
SGL_RS11165	chromosome	1965485	1965949	-	sll1562	sll1562	SGL_RS11165	RS11165	hypothetical protein
SGL_RS11170	chromosome	1966146	1969118	-	putA	sll1561	SGL_RS11170	RS11170 // pruA	L-proline dehydrogenase/L-glutamate &gamma;-semialdehyde dehydrogenase
NCR0930	chromosome	1969320	1969357	+	ncr0930	ncr0930	NA	NA	NCR0930-RNA
SGL_RS11175	chromosome	1969468	1970430	+	slr1681	slr1681	SGL_RS11175	RS11175	hypothetical protein
SGL_RS11180	chromosome	1970581	1970988	+	slr1682	slr1682	SGL_RS11180	RS11180	transposase
SGL_RS11185	chromosome	1970952	1971968	-	sll1560	sll1560	SGL_RS11185	RS11185	IS4-like element IS4Sa family transposase
SGL_RS11190	chromosome	1972061	1972549	+	slr1683	slr1683	SGL_RS11190	RS11190	IS701 family transposase
SGL_RS19230	chromosome	1972561	1973061	+	slr1684	slr1684	SGL_RS19230	RS19230	transposase
SGL_RS18925	chromosome	1973118	1973390	+	SGL_RS18925	SGL_RS18925	NA	RS18925	IS1 family transposase (inactive)
SGL_RS11200	chromosome	1973611	1974765	-	serC	sll1559	SGL_RS11200	RS11200	phosphoserine transaminase
SGL_RS11205	chromosome	1975056	1975481	+	slr1686	slr1686	SGL_RS11205	RS11205	FHA domain-containing protein
SGL_RS11210	chromosome	1975575	1975874	-	fed11	ssl3044	SGL_RS11210	RS11210 // fdx11 // fx11	ferredoxin 11
SGL_RS11215	chromosome	1976019	1976720	+	slr1687	slr1687	SGL_RS11215	RS11215	HEAT repeat domain-containing protein
SGL_RS11220	chromosome	1976799	1977965	-	cugP	sll1558	SGL_RS11220	RS11220	UTP&mdash;glucose-1-phosphate uridylyltransferase
SGL_RS11225	chromosome	1978131	1979039	-	sucD	sll1557	SGL_RS11225	RS11225	succinate&mdash;CoA ligase &alpha; chain
SGL_RS11230	chromosome	1979144	1980193	-	fni	sll1556	SGL_RS11230	RS11230	type 2 isopentenyl-diphosphate Delta-isomerase
SLL1556-AS	chromosome	1980006	1980092	+	sll1556-as	sll1556-as	NA	NA	SLL1556-AS-RNA
SGL_RS11235	chromosome	1980365	1981471	-	hik42	sll1555	SGL_RS11235	RS11235	hybrid sensor histidine kinase/response regulator
NCL0980	chromosome	1981600	1981804	-	ncl0980	ncl0980	NA	NA	NCL0980-RNA
NCR0940	chromosome	1981792	1981867	+	ncr0940	ncr0940	NA	NA	NCR0940-RNA
SGL_RS11240	chromosome	1982049	1982273	+	psaE	ssr2831	SGL_RS11240	RS11240	photosystem I reaction center subunit IV
SGL_RS11245	chromosome	1982308	1983171	+	fpg	slr1689	SGL_RS11245	RS11245	DNA-formamidopyrimidine glycosylase
SGL_RS11250	chromosome	1983204	1983932	+	slr1690	slr1690	SGL_RS11250	RS11250	NUDIX domain-containing protein
SGL_RS11255	chromosome	1983982	1985658	+	nadE	slr1691	SGL_RS11255	RS11255	NAD+ synthase
SLR1691-AS2	chromosome	1984130	1984212	-	slr1691-as2	slr1691-as2	NA	NA	SLR1691-AS2-RNA
SLR1691-AS	chromosome	1984904	1984993	-	slr1691-as	slr1691-as	NA	NA	SLR1691-AS-RNA
SGL_RS11260	chromosome	1985874	1986872	+	slr1692	slr1692	SGL_RS11260	RS11260	EAL domain-containing protein
NCL0990	chromosome	1986939	1987020	-	ncl0990	ncl0990	NA	NA	NCL0990-RNA
SGL_RS11265	chromosome	1987100	1988242	+	pixE	slr1693	SGL_RS11265	RS11265	CheY-like response regulator PixE
SGL_RS11270	chromosome	1988385	1988837	+	pixD	slr1694	SGL_RS11270	RS11270	blue-light using flavin photoreceptor
SGL_RS11275	chromosome	1988834	1991266	-	pheT	sll1553	SGL_RS11275	RS11275	phenylalanine--tRNA ligase subunit beta
SGL_RS11280	chromosome	1991550	1993274	+	spkB	slr1697	SGL_RS11280	RS11280	serine/threonine-protein kinase SpkB
SLR1697-AS	chromosome	1992429	1992488	-	slr1697-as	slr1697-as	NA	NA	SLR1697-AS-RNA
SGL_RS11285	chromosome	1993377	1994045	-	sll0921	sll0921	SGL_RS11285	RS11285	response regulator transcription factor
SLL0921-AS	chromosome	1994084	1994239	+	sll0921-as	sll0921-as	NA	NA	SLL0921-AS-RNA
SGL_RS11290	chromosome	1994147	1997251	-	pepC	sll0920	SGL_RS11290	RS11290	phosphoenolpyruvate carboxylase
SLL0920-AS3	chromosome	1995552	1995660	+	sll0920-as3	sll0920-as3	NA	NA	SLL0920-AS3-RNA
SLL0920-AS2	chromosome	1995697	1995755	+	sll0920-as2	sll0920-as2	NA	NA	SLL0920-AS2-RNA
SLL0920-AS	chromosome	1996990	1997067	+	sll0920-as	sll0920-as	NA	NA	SLL0920-AS-RNA
SGL_RS11295	chromosome	1997497	1997790	-	slr1004	slr1004	SGL_RS11295	RS11295 // ssl1762	hypothetical protein
SLR0935-AS	chromosome	1997913	1998007	-	slr0935-as	slr0935-as	NA	NA	SLR0935-AS-RNA
SGL_RS11300	chromosome	1997993	1998451	+	slr0935	slr0935	SGL_RS11300	RS11300	NfeD family protein
SGL_RS11305	chromosome	1998460	1999347	+	nadC	slr0936	SGL_RS11305	RS11305	carboxylating nicotinate-nucleotide diphosphorylase
SLR0936-AS2	chromosome	1999095	1999127	-	slr0936-as2	slr0936-as2	NA	NA	SLR0936-AS2-RNA
SLR0936-AS	chromosome	1999226	1999326	-	slr0936-as	slr0936-as	NA	NA	SLR0936-AS-RNA
SGL_RS11310	chromosome	1999477	2000730	+	slr0937	slr0937	SGL_RS11310	RS11310	hypothetical protein
SGL_RS11315	chromosome	2000815	2002194	+	slr0938	slr0938	SGL_RS11315	RS11315	Mur ligase family protein
SGL_RS11320	chromosome	2002241	2002894	-	cobH/cbiC	sll0916	SGL_RS11320	RS11320	cobalt-precorrin-8/precorrin-8X methylmutase
SGL_RS11325	chromosome	2002891	2004465	-	pqqE	sll0915	SGL_RS11325	RS11325	periplasmic processing protease PqqE
SGL_RS11330	chromosome	2004626	2006095	+	crtQ	slr0940	SGL_RS11330	RS11330	9,9'-di-cis-zeta-carotene desaturase
SGL_RS11335	chromosome	2006120	2006563	+	slr0941	slr0941	SGL_RS11335	RS11335	SRPBCC family protein
SGL_RS11340	chromosome	2006851	2007807	+	slr0942	slr0942	SGL_RS11340	RS11340	aldo/keto reductase
SGL_RS11345	chromosome	2007850	2008752	+	fba1	slr0943	SGL_RS11345	RS11345	fructose bisphosphate aldolase class I monomer
SGL_RS11350	chromosome	2008874	2010004	-	sll0914	sll0914	SGL_RS11350	RS11350	SGNH/GDSL hydrolase family protein
NCR0950	chromosome	2010078	2010154	+	ncr0950	ncr0950	NA	NA	NCR0950-RNA
SGL_RS11355	chromosome	2010218	2011369	+	acr3	slr0944	SGL_RS11355	RS11355 // arsB	arsenite efflux transporter Acr3
SGL_RS11360	chromosome	2011521	2012141	+	arsH	slr0945	SGL_RS11360	RS11360	arsenical resistance protein ArsH
SGL_RS11365	chromosome	2012231	2012626	+	arsC	slr0946	SGL_RS11365	RS11365	glutathione/glutaredoxin-dependent arsenate reductase ArsC
SGL_RS11370	chromosome	2012754	2013485	+	rpaB	slr0947	SGL_RS11370	RS11370 // ycf27 // rre26	phosphorylated-RpaB // response regulator RpaB
SGL_RS11375	chromosome	2013538	2014185	+	slr0948	slr0948	SGL_RS11375	RS11375	cofactor assembly of complex C subunit B
SGL_RS11380	chromosome	2014182	2014787	-	sll0913	sll0913	SGL_RS11380	RS11380	Uma2 family endonuclease
SGL_RS11385	chromosome	2014908	2016818	-	sll0912	sll0912	SGL_RS11385	RS11385	ABC-F family ATP-binding cassette domain-containing protein
SGL_RS11390	chromosome	2017104	2017964	+	natD	slr0949	SGL_RS11390	RS11390	neutral amino acids ABC transporter permease
SLR0949-AS	chromosome	2017849	2017912	-	slr0949-as	slr0949-as	NA	NA	SLR0949-AS-RNA
SGL_RS11395	chromosome	2017964	2018788	+	slr0950	slr0950	SGL_RS11395	RS11395	TlyA family RNA methyltransferase
SGL_RS11400	chromosome	2018851	2019237	-	sll0911	sll0911	SGL_RS11400	RS11400	hypothetical protein
SGL_RS11405	chromosome	2019253	2020344	-	sll0910	sll0910	SGL_RS11405	RS11405	tetratricopeptide repeat protein
SGL_RS11410	chromosome	2020349	2021035	-	sll0909	sll0909	SGL_RS11410	RS11410	type III DnaJ molecular chaperone
SLL0909-AS	chromosome	2020804	2020971	+	sll0909-as	sll0909-as	NA	NA	SLL0909-AS-RNA
SGL_RS11415	chromosome	2021252	2021944	+	ispD	slr0951	SGL_RS11415	RS11415	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
SGL_RS11420	chromosome	2022028	2023071	+	fbp2	slr0952	SGL_RS11420	fbp // G-405 // RS11420	fructose-1,6-bisphosphatase
SGL_RS11425	chromosome	2023278	2024012	+	spp	slr0953	SGL_RS11425	RS11425	sucrose-phosphate phosphatase
SLR0953-AS	chromosome	2023788	2023934	-	slr0953-as	slr0953-as	NA	NA	SLR0953-AS-RNA
NCR0960	chromosome	2024026	2024131	+	ncr0960	ncr0960	NA	NA	NCR0960-RNA
SGL_RS11430	chromosome	2024108	2024476	+	ssr1600	ssr1600	SGL_RS11430	RS11430	similar to anti-sigma f factor antagonist
SGL_RS11435	chromosome	2024549	2024980	+	slr0954	slr0954	SGL_RS11435	RS11435	Mini-ribonuclease 3
SGL_RS11440	chromosome	2024993	2026147	+	rlmB	slr0955	SGL_RS11440	RS11440	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
SGL_RS11445	chromosome	2026227	2026538	+	slr0957	slr0957	SGL_RS11445	RS11445	DUF1816 domain-containing protein
SGL_RS11450	chromosome	2026675	2028126	+	cysS	slr0958	SGL_RS11450	RS11450	cysteine--tRNA ligase
SLL0905-AS	chromosome	2028153	2028233	+	sll0905-as	sll0905-as	NA	NA	SLL0905-AS-RNA
SGL_RS11455	chromosome	2028157	2028744	-	maf	sll0905	SGL_RS11455	RS11455	Maf family nucleotide pyrophosphatase
SGL_RS11460	chromosome	2028898	2030421	+	slr0959	slr0959	SGL_RS11460	RS11460	type II CAAX endopeptidase family protein
SGL_RS11465	chromosome	2030534	2030974	+	slr0960	slr0960	SGL_RS11465	RS11465	hypothetical protein
SGL_RS11470	chromosome	2031001	2032473	-	Diox1	sll1541	SGL_RS11470	RS11470	<em>all</em>-<em>trans</em>-8&prime;-apo-&beta;-carotenal 15,15&prime;-oxygenase
SGL_RS07585	chromosome	2032604	2032891	+	clpS	ssr2723	SGL_RS11475	RS11475	ATP-dependent Clp protease adapter ClpS
SGL_RS11480	chromosome	2032951	2034123	-	sll1540	sll1540	SGL_RS11480	RS11480	glycosyltransferase
SLL1540-AS	chromosome	2033129	2033270	+	sll1540-as	sll1540-as	NA	NA	SLL1540-AS-RNA
SGL_RS11485	chromosome	2034294	2034803	+	ppa	slr1622	SGL_RS11485	RS11485	inorganic diphosphatase
SGL_RS11490	chromosome	2035067	2035432	+	ndhM	slr1623	SGL_RS11490	RS11490	ferredoxin-plastoquinone oxidoreductase subunit M
SGL_RS11495	chromosome	2035474	2036850	+	slr1624	slr1624	SGL_RS11495	RS11495	Ig-like domain-containing protein
SLR1624-AS	chromosome	2036655	2036744	-	slr1624-as	slr1624-as	NA	NA	SLR1624-AS-RNA
SGL_RS11500	chromosome	2036911	2038527	-	nagZ	sll1538	SGL_RS11500	RS11500	&beta;-<em>N</em>-acetylhexosaminidase
SGL_RS11505	chromosome	2038644	2039063	-	sll1537	sll1537	SGL_RS11505	RS11505	NUDIX domain-containing protein
SGL_RS11510	chromosome	2039078	2039530	+	folB	slr1626	SGL_RS11510	RS11510	dihydroneopterin aldolase
SLR1626-AS	chromosome	2039302	2039320	-	slr1626-as	slr1626-as	NA	NA	SLR1626-AS-RNA
SGL_RS11515	chromosome	2039541	2040161	+	slr1627	slr1627	SGL_RS11515	RS11515	LysE family transporter
SGL_RS11520	chromosome	2040280	2041458	-	moeB	sll1536	SGL_RS11520	RS11520	molybdopterin-synthase adenylyltransferase MoeB
SGL_RS11525	chromosome	2041594	2041998	+	slr1628	slr1628	SGL_RS11525	RS11525	DUF2237 family protein
SGL_RS11530	chromosome	2041999	2042982	+	slr1629	slr1629	SGL_RS11530	RS11530	ribosomal large subunit pseudouridine synthase D
SGL_RS11535	chromosome	2043107	2043838	-	sll1535	sll1535	SGL_RS11535	RS11535	sugar transferase
SGL_RS11540	chromosome	2043938	2045074	-	sll1534	sll1534	SGL_RS11540	RS11540	glycosyltransferase
SLL1534-AS	chromosome	2044579	2044642	+	sll1534-as	sll1534-as	NA	NA	SLL1534-AS-RNA
